parameter,top category,category,priority,english_name,explanation
SCHED_HTTP_PORT,engine,Scheduler,primary,Scheduler HTTP bind port,TCP port FastAPI/Uvicorn binds to inside the container (engine calls this over Docker network).
SCHED_MODE,engine,Scheduler,primary,Scheduler mode selector,"Selects the scheduler strategy (e.g., 'azuracast_schedule' for AzuraCast schedule API + playlists exports, otherwise basic filesystem rotation)."
SCHED_PREPROCESS_DISABLE_PLAYLISTS,engine,Scheduler,primary,Disable trim on certain playlists,"select playlist for witch you don't want to trim every ""maximum cap s"", like mixes or podcast"
SCHED_URL,engine,Scheduler,primary,Scheduler next-track endpoint URL,HTTP URL polled by the engine prefetcher to obtain the next track path (your contract is typically /next1).
SCHED_ACCESS_LOG,engine,Scheduler,secondary,Uvicorn access log enable,"When truthy, keeps per-request access logs (GET /health, /next1); when false, suppresses uvicorn.access noise in scheduler logs."
SCHED_AZURACAST_REFRESH_S,engine,Scheduler,secondary,AzuraCast playlist refresh interval (seconds),Minimum interval between AzuraCast playlist/schedule refresh calls; higher values reduce API load but react slower to changes.
SCHED_CONFIG,engine,Scheduler,secondary,Scheduler config file path,"Filesystem path to the YAML config consumed by the scheduler service (e.g., media.root, AzuraCast API settings)."
SCHED_HTTP_HOST,engine,Scheduler,secondary,Scheduler HTTP bind address,IP/interface FastAPI/Uvicorn binds to inside the container (0.0.0.0 to listen on all interfaces).
SCHED_RETRY_S,engine,Scheduler,secondary,Scheduler retry backoff (seconds),Sleep duration before retrying after a failed/empty scheduler response; impacts responsiveness under scheduler/API issues.
SCHED_TIMEOUT,engine,Scheduler,secondary,Scheduler HTTP timeout (seconds),"Timeout for HTTP calls to the scheduler; too low can cause transient 'no next track', too high can stall prefetch on scheduler hiccups."
TZ,engine,Scheduler,secondary,Timezone (IANA),"Timezone used for schedule evaluation and human-friendly timestamps (e.g., Europe/Paris). Does not affect audio, only schedule timing and log timestamps."
PREFETCH_TARGET,engine,Prefetch & Selection,primary,Prefetch queue target depth (tracks),"Target number of upcoming URIs buffered in the engine queue; higher improves resiliency, but increases RAM/disk churn (especially with preprocessing)."
TEMPO_LIMIT_ENABLE,engine,Prefetch & Selection,primary,Enable tempo-based selection gate,"When true, prefetch will ACCEPT/REJECT scheduler candidates based on BPM delta between consecutive tracks (consumes BPM from DB)."
TEMPO_REQUIRE_BPM,engine,Prefetch & Selection,primary,Require BPM (strict mode),"If true, missing BPM in DB (MISS) causes candidate rejection. Requires shared DB and sufficiently warm analysis; otherwise may lead to silence fallback."
TEMPO_DB_CACHE_CAP,engine,Prefetch & Selection,secondary,Tempo DB lookup cache capacity,Max number of cached track lookups held in memory; prevents unbounded growth.
TEMPO_DB_CACHE_TTL_S,engine,Prefetch & Selection,secondary,Tempo DB lookup cache TTL (seconds),TTL for in-memory lookup cache in prefetch to reduce SQLite read load.
TEMPO_DB_DEBUG,engine,Prefetch & Selection,secondary,Tempo DB debug logging,"When truthy, logs DB lookup failures (MISS / root-mismatch) to help diagnose path/root issues."
TEMPO_DB_ENABLE,engine,Prefetch & Selection,secondary,Enable tempo DB consumer,"When truthy, prefetch consumes BPM from the features SQLite DB (radio-grade). No realtime BPM computation should be used for decisioning."
